Id	Count
102377	190
102378	498
102379	15
102381	118
102382	1535
102383	287
102385	1
102386	0
102401	187
102403	315
102411	52
102414	86
102416	130
102437	375
102441	2
102444	160
102451	849
102454	25
102458	1068
102461	1083
102464	1038
102467	0
102468	51
102476	1119
102482	931
102487	281
102489	1
102492	8
102497	355
102499	2188
102500	21
102504	22
102512	975
102521	4
102554	208
102555	435
102559	593
102561	27
102562	0
102567	2
102572	176
102579	2180
102581	1262
102582	561
102593	343
102599	406
102603	136
102607	308
102612	508
102616	677
102617	972
102619	278
102627	638
102637	1
102640	111
102641	353
102648	1568
102650	536
102652	393
102655	1044
102659	412
102668	347
102672	1084
102673	432
102676	346
102677	0
102680	1
102686	5
102694	1137
102700	4700
102705	124
102711	1562
102723	892
102735	83
102737	2837
102738	224
102743	756
102744	1102
102763	134
102766	1002
102769	378
102772	0
102773	1
102774	0
102775	5
102776	1527
102778	31
102779	68
102780	0
102785	6
102787	3
102788	1
102789	45
102794	189
102799	332
102813	1150
102816	1362
102820	0
102830	367
102836	0
102837	421
102846	206
102850	1
102851	1
102855	18
102863	134
102864	22
102870	2946
102871	272
102876	27
102884	0
102887	0
102890	22
102892	46
102901	249
102904	2634
102906	33
102908	21
102909	188
102910	306
102920	769
102927	0
102933	241
102935	0
102936	2
102938	0
102941	444
102947	154
102952	1
102953	586
102957	1
102960	19
102964	4
102966	657
102970	26
102973	819
102976	113
102980	391
102985	596
102989	495
102996	1
102998	47
102999	37
103002	61
103006	1
103009	0
103012	82
103015	7
103016	0
103023	1158
103028	502
103031	10
103032	5
103033	5
103034	20
103039	336
103041	980
103043	0
103044	0
103045	0
103048	1594
103049	1334
103050	1
103059	5
103060	292
103061	1
103062	18
103063	869
103064	901
103065	571
103073	13
103080	290
103103	262
103108	56
103112	14
103113	0
103114	0
103119	0
103121	0
103122	1
103127	170
103129	7
103130	9
103131	22
103132	2189
103133	1
103134	2
103135	11
103136	12
103138	404
103143	102
103145	1
103147	3563
103149	1883
103153	0
103155	0
103156	2
103157	624
103158	71
103162	112
103167	735
103172	4
103174	0
103175	0
103176	0
103177	0
103179	4
103180	768
103186	0
103189	7
103191	0
103193	1
103205	10
103209	557
103215	291
103222	2009
103230	2042
103236	161
103252	68
103273	457
103275	255
103276	0
103282	931
103286	1
103291	394
103302	1245
103303	504
103311	760
103312	264
103321	318
103322	308
103330	0
103335	0
103336	3
103348	121
103350	646
103356	636
103364	0
103366	66
103372	1277
103376	105
103393	33
103394	4
103395	16
103403	2
103411	87
103421	135
103423	2
103437	40
103438	93
103442	265
103446	68
103447	94
103451	341
103455	162
103458	1
103459	1
103463	16
103470	1
103482	322
103487	110
103498	681
103506	586
103517	537
103537	57
103555	379
103560	8
103563	70
103576	2
103579	1502
103594	230
103597	95
103599	324
103613	46
103614	37
103618	565
