Id	Count
102377	267
102378	1653
102379	87
102381	230
102382	2939
102383	1235
102385	0
102386	1
102401	696
102403	641
102411	112
102414	249
102416	297
102437	851
102441	5
102444	237
102451	1234
102454	13
102458	1716
102461	1440
102464	1909
102467	0
102468	126
102476	3161
102482	2164
102487	963
102489	7
102492	7
102497	801
102499	799
102500	43
102504	49
102512	2962
102521	8
102554	582
102555	1269
102559	1448
102561	100
102562	0
102567	2
102572	370
102579	4110
102581	2048
102582	1526
102593	1124
102599	1155
102603	284
102607	1060
102612	820
102616	1489
102617	2283
102619	990
102627	1427
102637	0
102640	343
102641	781
102648	2259
102650	878
102652	902
102655	1788
102659	878
102668	1342
102672	1784
102673	1157
102676	566
102677	13
102680	1
102686	3
102694	2084
102700	5623
102705	639
102711	2151
102723	1699
102735	371
102737	6283
102738	500
102743	2652
102744	1200
102763	341
102766	1051
102769	723
102772	0
102773	0
102774	3
102775	9
102776	1740
102778	36
102779	54
102780	0
102785	32
102787	1
102788	7
102789	51
102794	521
102799	779
102813	2303
102816	3402
102820	32
102830	647
102836	0
102837	2038
102846	453
102850	0
102851	32
102855	128
102863	421
102864	52
102870	6003
102871	479
102876	87
102884	8
102887	0
102890	81
102892	155
102901	604
102904	3105
102906	42
102908	119
102909	101
102910	734
102920	710
102927	0
102933	113
102935	0
102936	2
102938	1
102941	795
102947	631
102952	0
102953	1099
102957	1
102960	190
102964	3
102966	8093
102970	50
102973	1757
102976	127
102980	1006
102985	2592
102989	1181
102996	17
102998	281
102999	496
103002	176
103006	27
103009	0
103012	20
103015	43
103016	11
103023	1572
103028	584
103031	8
103032	0
103033	41
103034	70
103039	307
103041	502
103043	0
103044	0
103045	0
103048	1814
103049	535
103050	3
103059	12
103060	429
103061	6
103062	36
103063	1509
103064	1101
103065	355
103073	12
103080	633
103103	418
103108	521
103112	93
103113	3
103114	0
103119	0
103121	0
103122	0
103127	792
103129	6
103130	3
103131	16
103132	2053
103133	7
103134	3
103135	32
103136	15
103138	725
103143	195
103145	1
103147	20942
103149	3918
103153	2
103155	0
103156	19
103157	4201
103158	437
103162	485
103167	1811
103172	57
103174	1
103175	3
103176	0
103177	0
103179	381
103180	626
103186	0
103189	52
103191	0
103193	6
103205	64
103209	1077
103215	1407
103222	5575
103230	3273
103236	589
103252	144
103273	1321
103275	1193
103276	0
103282	1537
103286	0
103291	865
103302	1444
103303	1546
103311	1589
103312	853
103321	641
103322	676
103330	0
103335	4
103336	62
103348	355
103350	2345
103356	1321
103364	0
103366	93
103372	2897
103376	237
103393	52
103394	1
103395	2
103403	2
103411	79
103421	202
103423	1
103437	93
103438	258
103442	504
103446	268
103447	244
103451	486
103455	454
103458	24
103459	1
103463	69
103470	0
103482	463
103487	412
103498	1109
103506	976
103517	851
103537	224
103555	1052
103560	19
103563	186
103576	6
103579	3110
103594	419
103597	294
103599	555
103613	66
103614	99
103618	902
103625	1047
103651	0
103653	0
103655	1645
103660	37
103668	67
103669	1397
103671	727
103683	21
103694	1334
103695	29
103703	687
103712	0
103715	3
103720	1203
103725	1
103739	277
103740	504
103745	534
103747	257
103751	916
103754	967
103755	52
103756	2686
103761	105
103771	1069
103772	39
103774	60
103778	21
103798	0
103799	3647
103801	17
103804	828
103812	474
103813	200
103822	538
103825	250
103827	3
103844	3353
103850	1901
103852	1821
103853	514
103861	10064
103863	0
103865	1604
103866	203
103886	2597
103898	90
103900	36
103907	126
103917	663
103920	1660
103930	189
103937	1267
103947	1127
103949	309
103951	888
103959	20
103960	221
103973	54
103993	670
103995	2567
104000	664
104004	3161
104015	645
104016	311
104021	524
104046	4
104050	28
104054	0
104059	2
104060	1
104061	16
104064	14
104067	1
104071	29
104072	6119
104073	178
104075	322
104077	709
104079	1
104081	1
104084	327
104089	99
104097	35
104102	13
104103	389
104104	217
104106	523
104109	0
104115	790
104116	1
104117	56
104118	2
104121	742
104132	209
104135	917
104137	65
104140	221
104141	1129
104152	4304
104156	372
104157	0
104159	250
104161	5262
104168	28
104171	13
104173	28
104174	1475
104175	3
104179	50
104180	93
104181	18
104182	170
104197	12
104199	198
104200	147
104201	0
104202	0
104203	699
104206	2
104207	354
104209	0
104211	148
104215	36
104217	333
104219	668
104220	239
104222	554
104227	1255
104228	0
104230	2382
104231	1997
104239	456
104243	0
104251	235
104260	0
104261	78
104263	19
104272	23
104276	732
104277	11143
104286	0
104288	418
104289	0
104291	451
104292	0
104293	1
104294	0
104295	1357
104301	1
104302	0
104304	66
104310	154
104313	3
104318	13
104320	594
104322	3789
104325	477
104333	550
104334	828
104335	0
104336	3
104343	0
104351	3
104353	43
104354	0
104356	1177
104359	254
104364	2259
104368	1
104369	0
104370	622
104372	91
104373	0
104377	88
104380	23
104382	383
104390	4862
104393	703
104394	499
104395	328
104399	5
104400	1161
104401	5567
104413	494
104415	607
104418	99
104419	101
104421	0
104422	446
104423	17
104425	5
104435	0
104437	1222
104438	82
104448	7
104451	596
104454	1100
104455	7
104458	21
104461	3886
104463	425
104469	1535
104474	1678
104490	1000
104491	12901
104494	289
104495	3178
104501	4
104511	378
104513	812
104514	78
104533	0
104535	536
104541	877
104547	462
104549	735
104551	0
104556	30
104557	85
104573	1615
104576	0
104577	10
104584	91
104585	2
104592	0
104593	1
104595	1553
104599	599
104601	481
104606	2653
104609	537
104617	688
104623	2339
104639	3720
104643	1609
104651	273
104659	263
104661	23
104664	10965
104683	517
104684	6
104691	1570
104695	2
104704	2011
104707	891
104715	172
104716	0
104721	1270
104741	409
104744	1442
104750	39
104762	262
104785	3173
104786	1615
104790	968
104795	1
104797	4514
104803	650
104807	519
104816	2
104820	419
104831	1612
104838	236
104842	1327
104856	1831
104867	324
104878	1867
104879	1102
104890	273
104898	1377
104907	305
104911	332
104923	0
104925	333
104927	8
104939	17
104942	1094
104952	41
104958	712
104968	515
104972	808
104978	1922
104994	283
105003	2849
105011	737
105019	345
105026	423
105027	172
105031	1147
105035	1717
105051	650
105054	3940
105055	1439
105062	42
105070	449
105072	233
105077	472
105079	194
105081	1309
105092	3
105106	1161
105133	5
105143	9
105147	694
105150	5
105154	0
105155	0
105156	0
105157	0
105158	344
105165	0
105167	59
105171	63
105173	0
105174	4
105176	0
105187	1
105189	2535
