Id	Count
102377	355
102378	1157
102379	72
102381	196
102382	2048
102383	760
102385	1
102386	0
102401	660
102403	563
102411	98
102414	200
102416	200
102437	819
102441	5
102444	277
102451	1270
102454	12
102458	1618
102461	1365
102464	1404
102467	0
102468	65
102476	2777
102482	1080
102487	398
102489	1
102492	8
102497	669
102499	127
102500	14
102504	30
102512	2506
102521	10
102554	320
102555	1250
102559	1039
102561	50
102562	1
102567	0
102572	238
102579	3493
102581	1456
102582	811
102593	766
102599	755
102603	254
102607	945
102612	724
102616	1371
102617	1841
102619	835
102627	1184
102637	2
102640	299
102641	614
102648	2099
102650	803
102652	687
102655	1796
102659	743
102668	783
102672	1420
102673	842
102676	604
102677	15
102680	0
102686	8
102694	2025
102700	5211
102705	588
102711	2035
102723	1471
102735	638
102737	8717
102738	419
102743	2818
102744	1275
102763	268
102766	578
102769	554
102772	0
102773	0
102774	1
102775	8
102776	2206
102778	16
102779	17
102780	1
102785	16
102787	4
102788	3
102789	45
102794	346
102799	717
102813	1600
102816	2231
102820	15
102830	977
102836	1
102837	3886
102846	347
102850	0
102851	57
102855	154
102863	323
102864	59
102870	6202
102871	494
102876	69
102884	3
102887	0
102890	42
102892	135
102901	483
102904	220
102906	60
102908	425
102909	125
102910	526
102920	715
102927	0
102933	41
102935	0
102936	0
102938	0
102941	598
102947	348
102952	0
102953	680
102957	3
102960	208
102964	3
102966	1259
102970	53
102973	1446
102976	120
102980	928
102985	1854
102989	955
102996	14
102998	136
102999	829
103002	129
103006	18
103009	0
103012	4
103015	48
103016	6
103023	1136
103028	326
103031	3
103032	11
103033	82
103034	73
103039	79
103041	86
103043	0
103044	0
103045	0
103048	358
103049	65
103050	3
103059	10
103060	268
103061	254
103062	839
103063	579
103064	492
103065	75
103073	1
103080	448
103103	425
103108	356
103112	168
103113	2
103114	0
103119	0
103121	0
103122	0
103127	543
103129	8
103130	3
103131	6
103132	2299
103133	2
103134	1
103135	7
103136	5
103138	575
103143	80
103145	0
103147	15537
103149	2897
103153	4
103155	0
103156	13
103157	1913
103158	334
103162	310
103167	1143
103172	47
103174	1
103175	3
103176	0
103177	0
103179	1107
103180	459
103186	0
103189	76
103191	1
103193	9
103205	101
103209	1050
103215	977
103222	4083
103230	2876
103236	389
103252	137
103273	1561
103275	2237
103276	1
103282	1519
103286	0
103291	613
103302	1154
103303	1018
103311	1791
103312	906
103321	548
103322	619
103330	0
103335	3
103336	80
103348	387
103350	1754
103356	1258
103364	2
103366	112
