Id	Count
102377	304
102378	1590
102379	78
102381	212
102382	2043
102383	641
102385	0
102386	2
102401	544
102403	569
102411	133
102414	241
102416	267
102437	900
102441	2
102444	340
102451	1529
102454	7
102458	1436
102461	1226
102464	2158
102467	0
102468	125
102476	2414
102482	2008
102487	1222
102489	7
102492	7
102497	762
102499	724
102500	47
102504	33
102512	2670
102521	7
102554	389
102555	1453
102559	1103
102561	134
102562	0
102567	4
102572	229
102579	3466
102581	2358
102582	1464
102593	945
102599	686
102603	284
102607	956
102612	887
102616	2166
102617	2379
102619	678
102627	1263
102637	0
102640	283
102641	917
102648	2474
102650	766
102652	572
102655	2444
102659	707
102668	1031
102672	2374
102673	835
102676	454
102677	6
102680	0
102686	2
102694	2309
102700	7321
102705	430
102711	2498
102723	1629
102735	424
102737	5620
102738	739
102743	2404
102744	1201
102763	295
102766	771
102769	734
102772	0
102773	0
102774	2
102775	4
102776	1912
102778	34
102779	75
102780	0
102785	10
102787	2
102788	9
102789	52
102794	341
102799	851
102813	2222
102816	2855
102820	21
102830	567
102836	1
102837	1189
102846	393
102850	0
102851	32
102855	102
102863	251
102864	48
102870	6763
102871	486
102876	49
102884	3
102887	0
102890	51
102892	77
102901	576
102904	3880
102906	61
102908	139
102909	122
102910	473
102920	1015
102927	0
102933	109
102935	0
102936	1
102938	0
102941	926
102947	344
102952	0
102953	1136
102957	0
102960	218
102964	2
102966	6487
102970	17
102973	1525
102976	112
102980	1100
102985	2039
102989	900
102996	2
102998	195
102999	553
103002	173
103006	12
103009	0
103012	29
103015	13
103016	2
103023	1123
103028	493
103031	12
103032	2
103033	20
103034	27
103039	303
103041	664
103043	0
103044	0
103045	0
103048	1701
103049	1168
103050	4
103059	11
103060	451
103061	2
103062	8
103063	1312
103064	1308
103065	455
103073	18
103080	624
103103	359
103108	307
103112	33
103113	1
103114	2
103119	2
103121	0
103122	0
103127	544
103129	4
103130	2
103131	11
103132	2032
103133	2
103134	1
103135	35
103136	9
103138	632
103143	132
103145	0
103147	11261
103149	2769
103153	0
103155	0
103156	3
103157	1843
103158	206
103162	409
103167	976
103172	14
103174	1
103175	0
103176	0
103177	0
103179	39
103180	517
103186	0
103189	8
103191	0
103193	4
103205	55
103209	1156
103215	1723
103222	2922
103230	3452
103236	439
103252	172
103273	1248
103275	1164
103276	1
103282	1802
103286	1
103291	522
103302	1607
103303	1688
103311	1416
103312	505
103321	695
103322	954
103330	0
103335	4
103336	0
103348	346
103350	1891
103356	1161
103364	0
103366	93
103372	3543
103376	279
103393	53
103394	2
103395	10
103403	1
103411	68
103421	334
103423	0
103437	73
103438	133
103442	421
103446	201
103447	159
103451	391
103455	387
103458	5
103459	0
103463	81
103470	2
103482	451
103487	359
103498	586
103506	1239
103517	647
103537	200
103555	900
103560	12
103563	165
103576	1
103579	3212
103594	466
103597	204
103599	453
103613	73
103614	70
103618	751
103625	1212
103651	11
103653	1
103655	1325
103660	27
103668	40
103669	849
103671	537
103683	11
103694	1675
103695	12
103703	451
103712	0
103715	1
103720	1065
103725	0
103739	232
103740	428
103745	788
103747	326
103751	1107
103754	1362
103755	38
103756	2684
103761	104
103771	888
103772	21
103774	50
103778	18
103798	0
103799	4730
103801	9
103804	907
103812	379
103813	104
103822	553
103825	167
103827	2
103844	4016
103850	2032
103852	1469
103853	459
103861	15664
103863	0
103865	1265
103866	157
103886	4436
103898	79
103900	73
103907	147
103917	578
103920	1622
103930	171
103937	1045
103947	1304
103949	466
103951	659
103959	38
103960	273
103973	48
103993	666
103995	2626
104000	415
104004	2695
104015	635
104016	266
104021	622
104046	2
104050	40
104054	0
104059	6
104060	0
104061	6
104064	8
104067	3
104071	21
104072	10436
104073	219
104075	272
104077	907
104079	0
104081	3
104084	278
104089	143
104097	27
104102	9
104103	243
104104	170
104106	212
104109	0
104115	916
104116	3
104117	49
104118	0
104121	780
104132	258
104135	528
104137	66
104140	117
104141	1199
104152	2963
104156	319
104157	0
104159	273
104161	5539
104168	16
104171	11
104173	18
104174	1092
104175	1
104179	34
104180	116
104181	7
104182	91
104197	12
104199	189
104200	95
104201	0
104202	0
104203	644
104206	3
104207	232
104209	0
104211	85
104215	29
104217	238
104219	814
104220	136
104222	511
104227	1569
104228	0
104230	2450
104231	2695
104239	450
104243	1
104251	126
104260	2
104261	46
104263	12
104272	6
104276	505
104277	9120
104286	1
104288	496
104289	0
104291	394
104292	0
104293	4
104294	0
104295	2998
104301	0
104302	0
104304	46
104310	186
104313	0
104318	9
104320	664
104322	4279
104325	351
104333	534
104334	448
104335	1
104336	0
104343	0
104351	0
104353	31
104354	0
104356	1002
104359	296
104364	2571
104368	1
104369	0
104370	495
104372	52
104373	0
104377	71
104380	23
104382	393
104390	3034
104393	575
104394	1017
104395	370
104399	1
104400	910
104401	4753
104413	530
104415	515
104418	101
104419	120
104421	0
104422	780
104423	39
104425	1
104435	0
104437	1641
104438	42
104448	13
104451	452
104454	1123
104455	3
104458	10
104461	3595
104463	395
104469	1379
104474	1832
104490	880
104491	7876
104494	303
104495	3110
104501	10
104511	312
104513	828
104514	56
104533	0
104535	624
104541	527
104547	355
104549	1048
104551	0
104556	25
104557	68
104573	1587
104576	0
104577	6
104584	21
104585	0
104592	0
104593	3
104595	1021
104599	406
104601	432
104606	2705
104609	601
104617	602
104623	1764
104639	3302
104643	1803
104651	315
104659	353
104661	22
104664	12323
104683	315
104684	1
104691	2073
104695	0
104704	1425
104707	634
104715	139
104716	1
104721	1382
104741	414
104744	841
104750	33
104762	461
104785	2869
104786	1997
104790	723
104795	3
104797	4635
104803	858
104807	498
104816	0
104820	229
104831	1736
104838	171
104842	1723
104856	1699
104867	155
104878	1336
104879	1136
104890	332
104898	1214
104907	263
104911	305
104923	0
104925	380
104927	3
104939	17
104942	975
104952	57
104958	406
104968	456
104972	790
104978	1786
104994	257
105003	1042
105011	430
105019	382
105026	316
105027	145
105031	947
105035	1630
105051	815
105054	5088
105055	1491
105062	85
105070	395
105072	318
105077	373
105079	183
105081	1191
105092	7
105106	886
105133	8
105143	6
105147	452
105150	6
105154	0
105155	0
105156	0
105157	0
105158	308
105165	0
105167	58
105171	39
105173	0
105174	3
105176	0
105187	0
105189	2581
105190	3410
105191	602
105192	1209
105196	398
105202	4211
105206	0
105216	1693
105220	546
105221	633
105222	1774
105223	1385
105224	481
105233	12
105237	3
105238	103
105239	751
105242	4
105246	6
105247	4
105251	1434
105255	202
105260	518
105263	618
105269	189
105275	155
105279	0
105282	90
105286	6
105287	9
105288	131
105290	5
105291	252
105311	202
105313	321
105315	4228
105328	3
105330	684
105336	7
105338	0
105342	332
105346	6
105349	454
105351	2000
105356	42
105363	10
105379	13
105381	732
105383	1
105385	1
105386	288
105389	453
105391	1
105393	136
105401	12
105405	1
105406	13
105407	465
105408	10
105409	1620
105420	13
105423	2859
105432	4299
105444	17827
105445	336
105447	12
105448	0
105449	60
105454	249
105455	99
105457	2
105458	0
105465	15
105466	328
105467	0
105475	15211
105479	954
105483	3
105488	0
105504	2001
105514	7
105515	91
105518	797
105520	475
105524	0
105532	0
105533	632
105535	310
105537	0
105538	202
105540	35
105553	28
105556	47
105557	2449
105565	328
105589	9290
105593	507
105597	496
105613	1206
105617	168
105623	6743
105628	213
105631	531
105636	1122
105643	3640
105647	266
105650	751
105652	1
105676	176
105682	527
105692	946
105701	110
105707	0
105709	1404
105710	3
105718	23
105722	13
105729	9
105748	1
105752	0
105763	12
105765	122
105768	12
105771	505
105775	228
105784	97
105785	12
105787	17
105788	31
105798	52
105804	15
105805	174
105806	12
105808	3
105810	401
105816	1284
105820	9
105823	25
105832	1546
105834	328
105838	185
105840	106
105843	0
105844	43
105847	274
105848	131
105849	491
105851	93
105854	861
105860	2023
105863	315
105864	341
105866	193
105867	0
105868	21
105870	329
105874	44
105880	71
105882	1
105884	0
105888	82
105891	1371
105894	71
105904	221
105911	532
105912	0
105917	1441
105924	6
105931	78
105938	751
105956	659
105968	911
105969	15
105970	1273
105975	99
105977	1
105978	268
105979	135
105980	372
105983	5
105984	653
105989	2
105994	15364
106009	1275
106014	1314
106016	427
106018	389
106023	1079
106024	41
106029	193
106035	0
106037	4250
106039	4777
106041	5
106043	198
106048	2137
106049	6
106051	488
106055	182
106064	597
106067	554
106081	4211
106082	274
106089	146
106107	2
106108	2250
106111	854
106113	9947
106116	225
106118	2053
106120	463
106129	101
106130	2283
106131	1
106138	106
106145	300
106147	922
106148	229
106150	576
106151	0
106152	17
106154	64
106155	218
106160	369
106161	140
106164	222
106168	4
106171	14082
106178	17
106181	295
106205	1215
106219	282
106223	2807
106229	11
106236	11
106237	874
106242	125
106244	424
106245	4
106248	360
106249	431
106250	444
106251	26
106252	13
106253	12
106258	1
106259	27
106267	1
106270	2
106272	1037
106274	47
106276	585
106283	670
106287	334
106294	187
106296	11
106297	1551
106306	687
106308	11
106309	435
106314	47
106315	661
106321	1061
106330	13152
106331	3209
106337	535
106340	355
106342	349
106353	12
106356	832
106357	1833
106362	24
106370	1097
106371	0
106378	274
106391	248
106405	3
106429	162
106437	753
106444	0
106445	0
106450	281
106452	464
106453	1
106457	462
106467	406
106470	3
106471	2544
106473	836
106475	3
106476	35
106479	0
106480	1
106482	0
106484	186
106486	0
106487	3
106488	94
106490	0
106491	674
106492	0
106493	1
106494	8
106499	0
106512	4
106516	1
106531	922
106533	1158
106537	2
106538	35
106539	53
106554	2
106556	1459
106564	1
106569	200
106570	294
106575	404
106576	208
106583	3
106584	39
106586	1353
106591	64
106595	1972
106603	1116
106604	0
106605	530
106606	404
106607	3
106615	123
106617	2062
106623	320
106624	1
106625	227
106626	334
106627	268
106636	37
106640	506
106641	176
106642	126
106645	464
106646	2199
106647	2663
106649	22
106654	14
106657	302
106659	4
106660	24
106661	75
106662	1
106676	25
106677	105
106680	408
106684	0
106686	2304
106695	122
106697	8
106706	616
106720	100
106730	3561
106731	306
106743	745
106744	427
106755	137
106761	2005
106769	1269
106781	5789
106797	372
106798	996
106801	1250
106812	0
106818	2626
106821	25
106828	119
106829	951
106834	4697
106868	1
106869	1
106874	660
106877	13
106879	109
106885	726
106895	340
106897	0
106900	21
106928	0
106936	55
106939	36
106947	1
106951	858
106958	177
106960	0
106962	2459
106981	275
106982	957
106998	0
107002	587
107003	7
107005	3470
107007	0
107008	1
107011	856
107012	674
107014	76
107031	81
107032	0
107035	161
107037	66
107042	222
107045	428
107055	2044
107058	327
107068	19
107070	2
107071	0
107072	4
107073	346
107076	45
107078	966
107082	1876
107107	19
107111	1320
107112	11
107123	315
107124	762
107131	655
107132	1334
107137	476
107140	1169
107141	0
107142	8
107144	317
107146	6
107151	2331
107158	4528
107168	19
107172	28
107185	0
107187	904
107194	2
107197	104
107202	277
107205	880
107206	602
107207	2
107208	0
107217	0
107218	45
107229	1
107239	1747
107244	131
107245	10
107253	150
107255	287
107258	1331
107260	1848
107263	1016
107268	2345
107278	0
107279	760
107282	5379
107285	0
107294	545
107297	323
107298	0
107300	4502
107306	0
107323	1092
107325	1571
107329	0
107335	416
107338	1
107339	17
107340	1618
107346	4
107347	2
107349	2
107357	0
107358	1
107360	4
107369	1987
107374	472
107383	1832
107385	1024
107386	167
107389	393
107402	927
107420	997
107436	108
107445	567
107460	778
107463	1061
107464	131
107469	8
107475	677
107479	122
107483	197
107488	0
107490	1178
107494	259
107495	23
107502	520
107503	385
107507	471
107509	382
107513	7
107523	5
107524	203
107525	100
107526	4
107541	7
107547	0
107551	568
107552	424
107554	417
107564	324
107567	1125
107571	4541
107577	297
107591	110
107595	0
107596	2
107601	518
107616	268
107639	684
107641	0
107644	8
107657	0
107667	54
107669	62
107670	1052
107674	7
107680	598
107682	38
107685	2
107689	518
107704	120
107715	1968
107717	0
107742	0
107743	70
107745	0
107768	263
107773	530
107775	3362
107776	30002
107779	345
107780	244
107781	811
107784	12049
107793	738
107796	241
107802	303
107805	1098
107811	4
107814	16
107835	76
107843	18
107844	18
107846	0
107848	297
