Id	Count
102377	136
102378	1068
102379	48
102381	145
102382	1299
102383	419
102385	0
102386	2
102401	404
102403	369
102411	101
102414	144
102416	137
102437	620
102441	5
102444	191
102451	855
102454	12
102458	1059
102461	892
102464	1398
102467	0
102468	100
102476	1937
102482	1553
102487	824
102489	6
102492	4
102497	513
102499	405
102500	18
102504	19
102512	1743
102521	0
102554	330
102555	770
102559	966
102561	100
102562	0
102567	1
102572	305
102579	2760
102581	1257
102582	763
102593	680
102599	780
102603	189
102607	608
102612	551
102616	1070
102617	1570
102619	641
102627	781
102637	0
102640	197
102641	505
102648	1558
102650	497
102652	597
102655	1358
102659	548
102668	796
102672	1325
102673	612
102676	355
102677	2
102680	0
102686	1
102694	1414
102700	4783
102705	294
102711	1508
102723	953
102735	245
102737	4385
102738	534
102743	1537
102744	949
102763	254
102766	800
102769	498
102772	0
102773	0
102774	3
102775	11
102776	1224
102778	48
102779	70
102780	0
102785	3
102787	10
102788	7
102789	54
102794	283
102799	418
102813	1426
102816	1855
102820	32
102830	219
102836	0
102837	908
102846	306
102850	0
102851	4
102855	74
102863	162
102864	27
102870	4312
102871	351
102876	21
102884	2
102887	1
102890	48
102892	37
102901	441
102904	2960
102906	23
102908	76
102909	99
102910	398
102920	1334
102927	0
102933	54
102935	0
102936	5
102938	0
102941	577
102947	409
102952	3
102953	770
102957	1
102960	185
102964	0
102966	2550
102970	10
102973	976
102976	66
102980	585
102985	1226
102989	782
102996	3
102998	128
102999	252
103002	99
103006	11
103009	0
103012	30
103015	6
103016	0
103023	1044
103028	368
103031	16
103032	0
103033	33
103034	20
103039	195
103041	552
103043	0
103044	0
103045	0
103048	1494
103049	670
103050	3
103059	14
103060	307
103061	3
103062	14
103063	973
103064	648
103065	341
103073	14
103080	329
103103	437
103108	336
103112	20
103113	2
103114	0
103119	0
103121	0
103122	0
103127	377
103129	6
103130	0
103131	4
103132	1567
103133	4
103134	0
103135	27
103136	4
103138	452
103143	100
103145	0
103147	10808
103149	2241
103153	0
103155	0
103156	0
103157	2001
103158	240
103162	287
103167	1061
103172	21
103174	0
103175	0
103176	0
103177	0
103179	110
103180	452
103186	0
103189	17
103191	0
103193	0
103205	27
103209	731
103215	893
103222	3661
103230	2216
103236	283
103252	95
103273	713
103275	697
103276	0
103282	1005
103286	0
103291	426
103302	977
103303	1018
103311	998
103312	435
103321	375
103322	470
103330	3
103335	0
103336	0
103348	243
103350	1603
103356	715
103364	0
103366	38
103372	1723
103376	138
103393	32
103394	5
103395	0
103403	0
103411	38
103421	191
103423	3
103437	73
103438	103
103442	242
103446	82
103447	123
103451	597
103455	265
103458	0
103459	0
103463	45
103470	6
103482	563
103487	263
103498	509
103506	798
103517	439
103537	159
103555	602
103560	9
103563	90
103576	0
103579	3592
103594	195
103597	156
103599	420
103613	50
103614	46
103618	639
103625	578
103651	5
103653	0
103655	984
103660	21
103668	21
103669	653
103671	363
103683	11
103694	910
103695	6
103703	321
103712	0
103715	2
103720	692
103725	0
103739	130
103740	298
103745	419
103747	214
103751	800
103754	884
103755	37
103756	1686
103761	73
103771	565
103772	21
103774	49
103778	6
103798	0
103799	2408
103801	13
103804	539
103812	441
103813	394
103822	227
103825	170
103827	0
103844	2580
103850	1378
103852	1280
103853	237
103861	7477
103863	0
103865	860
103866	137
103886	947
103898	43
103900	90
103907	127
103917	388
103920	1130
103930	121
103937	834
103947	678
103949	228
103951	466
103959	20
103960	193
103973	23
103993	459
103995	1694
104000	363
104004	1895
104015	365
104016	207
104021	322
104046	0
104050	48
104054	0
104059	10
104060	0
104061	8
104064	8
104067	2
104071	26
104072	7089
104073	111
104075	166
104077	650
104079	2
104081	7
104084	211
104089	32
104097	8
104102	7
104103	180
104104	138
104106	122
104109	0
104115	495
104116	0
104117	44
104118	3
104121	521
104132	136
104135	302
104137	32
104140	107
104141	784
104152	2609
104156	217
104157	0
104159	234
104161	3664
104168	12
104171	14
104173	13
104174	651
104175	0
104179	30
104180	84
104181	8
104182	117
104197	4
104199	112
104200	75
104201	0
104202	0
104203	383
104206	0
104207	174
104209	0
104211	27
104215	14
104217	180
104219	412
104220	171
104222	480
104227	1432
104228	0
104230	1594
104231	1297
104239	395
104243	0
104251	67
104260	0
104261	25
104263	12
104272	15
104276	409
104277	6148
104286	0
104288	367
104289	0
104291	271
104292	0
104293	4
104294	0
104295	1983
104301	0
104302	0
104304	38
104310	129
104313	0
104318	9
104320	434
104322	2650
104325	327
104333	571
104334	328
104335	0
104336	0
104343	0
104351	0
104353	38
104354	0
104356	723
104359	138
104364	1574
104368	0
104369	0
104370	322
104372	23
104373	0
104377	73
104380	28
104382	276
104390	2374
104393	576
104394	539
104395	198
104399	2
104400	693
104401	3048
104413	261
104415	376
104418	65
104419	60
104421	1
104422	808
104423	18
104425	1
104435	0
104437	1419
104438	52
104448	1
104451	256
104454	701
104455	2
104458	25
104461	2061
104463	277
104469	977
104474	1323
104490	724
104491	8280
104494	192
104495	2333
104501	6
104511	231
104513	478
104514	59
104533	0
104535	540
104541	494
104547	342
104549	622
104551	0
104556	14
104557	48
104573	989
104576	0
104577	2
104584	13
104585	0
104592	2
104593	0
104595	888
104599	426
104601	284
104606	2398
104609	326
104617	408
104623	1399
104639	2670
104643	1003
104651	208
104659	167
104661	18
104664	7360
104683	267
104684	2
104691	1199
104695	0
104704	1232
104707	493
104715	67
104716	0
104721	786
104741	267
104744	933
104750	28
104762	178
104785	1724
104786	898
104790	545
104795	0
104797	2017
104803	496
104807	342
104816	0
104820	160
104831	1116
104838	124
104842	908
104856	1168
104867	99
104878	944
104879	780
104890	167
104898	823
104907	249
104911	195
104923	0
104925	265
104927	2
104939	8
104942	664
104952	23
104958	322
104968	330
104972	418
104978	1171
104994	165
105003	717
105011	428
105019	252
105026	275
105027	165
105031	677
105035	1336
105051	431
105054	2913
105055	883
105062	44
105070	192
105072	176
105077	341
105079	107
105081	629
105092	13
105106	495
105133	2
105143	0
105147	387
105150	5
105154	0
105155	0
105156	0
105157	0
105158	271
105165	0
105167	33
105171	33
105173	0
105174	1
105176	0
105187	0
105189	1546
105190	1838
105191	397
105192	898
105196	358
105202	3175
105206	0
105216	1555
105220	383
105221	359
105222	2049
105223	965
105224	217
105233	15
105237	2
