Id	Count
102377	368
102378	1882
102379	72
102381	218
102382	2045
102383	509
102385	1
102386	2
102401	623
102403	647
102411	169
102414	251
102416	293
102437	1057
102441	3
102444	317
102451	1620
102454	27
102458	1659
102461	1503
102464	2431
102467	0
102468	135
102476	2841
102482	2820
102487	1408
102489	3
102492	4
102497	748
102499	643
102500	33
102504	37
102512	2699
102521	4
102554	446
102555	1420
102559	1513
102561	191
102562	0
102567	2
102572	328
102579	3361
102581	2601
102582	1279
102593	979
102599	838
102603	300
102607	1165
102612	1028
102616	2230
102617	2914
102619	738
102627	1292
102637	0
102640	306
102641	1046
102648	2891
102650	730
102652	653
102655	2349
102659	720
102668	1194
102672	2531
102673	908
102676	417
102677	9
102680	2
102686	7
102694	2433
102700	7696
102705	461
102711	2611
102723	1684
102735	544
102737	6206
102738	907
102743	2737
102744	1453
102763	377
102766	1004
102769	912
102772	1
102773	1
102774	0
102775	11
102776	1928
102778	46
102779	102
102780	0
102785	7
102787	8
102788	21
102789	95
102794	373
102799	812
102813	2388
102816	3432
102820	34
102830	402
102836	0
102837	1244
102846	526
102850	0
102851	6
102855	97
102863	211
102864	54
102870	7433
102871	481
102876	49
102884	4
102887	1
102890	49
102892	66
102901	718
102904	4259
102906	54
102908	183
102909	108
102910	641
102920	1972
102927	0
102933	89
102935	0
102936	9
102938	0
102941	1078
102947	595
102952	0
102953	1240
102957	5
102960	240
102964	2
102966	3424
102970	18
102973	1671
102976	111
102980	1067
102985	2076
102989	1014
102996	9
102998	94
102999	345
103002	167
103006	11
103009	1
103012	43
103015	1
103016	0
103023	1413
103028	606
103031	13
103032	7
103033	58
103034	17
103039	359
103041	697
103043	0
103044	0
103045	0
103048	2408
103049	1183
103050	6
103059	10
103060	499
103061	2
103062	32
103063	1514
103064	1272
103065	483
103073	9
103080	585
103103	630
103108	387
103112	26
103113	2
103114	0
103119	0
103121	0
103122	0
103127	579
103129	6
103130	11
103131	28
103132	2281
103133	4
103134	0
103135	33
103136	6
103138	651
103143	122
103145	0
103147	16855
103149	3611
103153	1
103155	0
103156	0
103157	3219
103158	341
103162	465
103167	1005
103172	20
103174	1
103175	0
103176	0
103177	0
103179	100
103180	679
103186	0
103189	16
103191	0
103193	2
103205	30
103209	1280
103215	1997
103222	3548
103230	3355
103236	463
103252	157
103273	1198
103275	874
103276	3
103282	1688
103286	0
103291	545
103302	1885
103303	1912
103311	1422
103312	477
103321	677
103322	827
103330	0
103335	4
103336	0
103348	407
103350	2047
103356	1392
103364	1
103366	76
103372	2610
103376	372
103393	50
103394	0
103395	9
103403	1
103411	81
103421	345
103423	0
103437	118
103438	117
103442	391
103446	181
103447	134
103451	601
103455	392
103458	2
103459	0
103463	56
103470	2
103482	835
103487	310
103498	556
103506	789
103517	657
103537	182
103555	999
103560	14
103563	183
103576	3
103579	5552
103594	470
103597	212
103599	451
103613	75
103614	78
103618	906
103625	1400
103651	5
103653	0
103655	1630
103660	33
103668	26
103669	1151
103671	532
103683	6
103694	1690
103695	13
103703	546
103712	0
103715	4
103720	1284
103725	0
103739	262
103740	435
103745	841
103747	406
103751	1210
103754	1508
103755	43
103756	2596
103761	71
103771	935
103772	28
103774	48
103778	8
103798	0
103799	4185
103801	18
103804	1026
103812	633
103813	523
103822	452
103825	338
103827	0
103844	4321
103850	2206
103852	1634
103853	481
103861	17718
103863	0
103865	1587
103866	183
103886	2320
103898	113
103900	117
103907	216
103917	622
103920	1869
103930	227
103937	1211
103947	1149
103949	505
103951	779
103959	42
103960	279
103973	49
103993	662
103995	2990
104000	544
104004	2885
104015	606
104016	264
104021	633
104046	6
104050	41
104054	1
104059	11
104060	2
104061	21
104064	7
104067	1
104071	26
104072	11800
104073	189
104075	298
104077	1199
104079	4
104081	4
104084	299
104089	33
104097	21
104102	1
104103	270
104104	267
104106	259
104109	0
104115	776
104116	3
104117	52
104118	0
104121	884
104132	229
104135	549
104137	62
104140	166
104141	1500
104152	3550
104156	334
104157	1
104159	342
104161	6028
104168	10
104171	15
104173	22
104174	871
104175	0
104179	40
104180	151
104181	5
104182	164
104197	15
